scientific_name,order,order_num,family,family_num,genus,genus_num,species,early_interval,late_interval,max_age_mya,min_age_mya,country,state,longitude,latitude,latlng_basis,latlng_precision,formation,stratigraphy_scale,lithology,environment,assembly_composition,preservation_mode,collection_name,collection_type,life_habit,vision,diet,time_period,preservation_mode_count,presevation_mode_count_scaled,order_num_scaled,diet_scaled,country_scaled
Thaleops longispina,Corynexochida,19472,Illaenidae,124262,Thaleops,19700,longispina,Whiterockian,,471.3,457.3,US,New York,-73.423332,44.032501,based on nearby landmark,4,Crown Point,group of beds,limestone,carbonate indet.,"macrofossils,mesofossils",body,(CP) Crown Point,biostratigraphic,nektobenthic,,carnivore,Ordovician,1,-0.03391346657626163,-0.37663776430253115,0,42
Trigonocerca typica,Asaphida,19834,Asaphidae,82596,Trigonocerca,20220,typica,Blackhillsian,,475.3,471.3,US,Utah,-112.419998,41.23,estimated from map,2,Garden City,group of beds,limestone,open shallow subtidal,macrofossils,"body,replaced with silica","Hintze, 1951, Promontory Point section 914-920",biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,2,1.2126854649529348,-0.37339232350417834,0,42
Strigigenalis crassimarginata,Proetida,21062,Bathyuridae,124260,Strigigenalis,21377,crassimarginata,Cassinian,,483.4,471.3,US,Oklahoma,-97.143333,34.372223,estimated from map,seconds,Kindblade,bed,lime mudstone,shallow subtidal indet.,macrofossils,body,I-893,biostratigraphic,low-level epifaunal,well-developed,detritivore,Ordovician,1,-0.03391346657626163,-0.3623829276467828,1,42
Angelina hyeronimi,Olenida,392207,Olenidae,82598,Angelina,20285,hyeronimi,Furongian,,497.0,486.85,AR,,-65.688004,-23.615999,estimated from map,3,Lampazar,bed,shale,offshore,macrofossils,body,Quebrada Totora - TotoraB,paleoecologic,low-level epifaunal,well-developed,carnivore,,1,-0.03391346657626163,2.9650455947417167,0,3
Proasaphiscus (Honanaspis) honanensis,Ptychopariida,20239,Proasaphiscidae,155209,Honanaspis,224128,honanensis,Taijangian,,506.5,504.5,CN,Shandong,116.883331,36.416668,based on nearby landmark,minutes,Mantou,bed,limestone,marine indet.,macrofossils,mold/impression,"Mt. Mantou, Zhangxia, BW69-69a, BW68",taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,0,-1.280512398105458,-0.3697613745446953,0,10
Proceratopyge protracta,Asaphida,19834,Ceratopygidae,82589,Proceratopyge,20136,protracta,Paibian,,497.0,494.2,CN,Hunan,110.949997,29.133333,based on nearby landmark,minutes,Huaqiao,bed,limestone,slope,macrofossils,"cast,mold/impression","Shenjiawan, unit 6, 20",taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,0,-1.280512398105458,-0.37339232350417834,0,10
Jixianaspis lubricus,NO_ORDER_SPECIFIED,0,Wuaniidae,227122,Jixianaspis,239456,lubricus,Taijangian,,506.5,504.5,CN,Henan,114.050003,35.416668,based on political unit,minutes,Hsuchuang,bed,limestone,carbonate indet.,macrofossils,"cast,mold/impression","Chishanhe, Jixian, bed 25",taxonomic,low-level epifaunal,,carnivore,Cambrian,0,-1.280512398105458,-0.5512102041520478,0,10
Diceratocephalina miranda,Ptychopariida,20239,Acrocephalitidae,154913,Diceratocephalina,20453,miranda,Tremadoc,,486.4,477.1,RU,Krasnoyar,88.816666,68.0,based on nearby landmark,minutes,Uigur,group of beds,limestone,perireef or subreef,macrofossils,"cast,mold/impression","Kulyumbe River, unit 32",taxonomic,low-level epifaunal,,carnivore,Ordovician,0,-1.280512398105458,-0.3697613745446953,0,35
Mucronaspis olini,Phacopida,21421,Dalmanitidae,85376,Mucronaspis,21653,olini,Hirnantian,,445.2,443.1,KZ,,75.362503,43.75,estimated from map,minutes,Zhalair,bed,mudstone,marine indet.,macrofossils,body,Locality 277. Durben Well South Section,biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.3591643827666484,0,24
Pliomeroides blatchfordi,Phacopida,21421,Cheiruridae,85334,Pliomeroides,21720,blatchfordi,Bendigonian,,474.9,473.1,AU,Western Australia,125.916664,-18.65,estimated from map,minutes,Emanuel,bed,limestone,,mesofossils,body,Section 705/97,biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.3591643827666484,0,4
Cybeloides loveni,Phacopida,21421,Encrinuridae,97159,Cybeloides,21518,loveni,Pirgu,,449.5,445.2,EU,Vastergotland,13.0,58.0,estimated from map,degrees,Ulunda Mudstone,,mudstone,marine indet.,"macrofossils,mesofossils",body,"Skultorp, Ulunda Mudstone Formation",taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.3591643827666484,0,13
Paedeumias transitans,Redlichiida,19346,Olenellidae,90394,Olenellus (Paedeumias),19149,transitans,Dyeran,,515.3,509.7,US,Vermont,-73.15667,44.743889,stated in text,seconds,Parker Slate,group of beds,shale,marine indet.,macrofossils,mold/impression,USNM Loc. 25 Parkers Cobble,taxonomic,low-level epifaunal,well-developed,detritivore,Cambrian,0,-1.280512398105458,-0.3777673928677036,1,42
Pliomera fisheri,Phacopida,21421,Pliomeridae,124266,Pliomera,21716,fischeri,Kunda,,469.1,464.3,EU,,16.9575,57.288334,estimated from map,seconds,Holen,group of beds,limestone,marine indet.,macrofossils,body,"Haget trilobites, above bed ""f""",biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.3591643827666484,0,13
Hemisphaerocoryphe pseudohemicranium,Phacopida,21421,Cheiruridae,85334,Hemisphaerocoryphe,21599,pseudohemicranium,Idavere,Johvi,458.0,449.9,EU,,6.083333,52.516666,,minutes,Haljala Erratics,formation,chert,carbonate indet.,macrofossils,"body,mold/impression",Zwolle,taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,2,1.2126854649529348,-0.3591643827666484,0,13
Bonnia parvula,Corynexochida,19472,Dorypygidae,95207,Bonnia,19506,parvula,Dyeran,,515.3,509.7,CA,Labrador,-56.968613,51.465279,estimated from map,seconds,Forteau,member,shale,"reef, buildup or bioherm","macrofossils,mesofossils",body,"K08-F5, Middle Shale Member",biostratigraphic,nektobenthic,well-developed,carnivore,Cambrian,1,-0.03391346657626163,-0.37663776430253115,0,9
Tricrepicephalus coria,Ptychopariida,20239,Tricrepicephalidae,133742,Tricrepicephalus,21016,coria,Guzhangian,,500.5,497.0,US,Texas,-98.614166,30.921667,estimated from map,seconds,Riley,bed,limestone,marine indet.,macrofossils,body,LL-486,taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,1,-0.03391346657626163,-0.3697613745446953,0,42
Pseudocalymene transversa,Corynexochida,19472,Leiostegiidae,87641,Pseudocalymene,19673,transversa,Dapingian,,471.3,469.4,CN,Hubei,111.374001,30.8605,estimated from map,4,Dawan,bed,shale,marine indet.,macrofossils,"body,original calcite","SHod18, Huanghuachang section",taxonomic,nektobenthic,well-developed,carnivore,Ordovician,2,1.2126854649529348,-0.37663776430253115,0,10
Dicranopeltis eretes,Lichida,19721,Lichidae,123406,Dicranopeltis,19735,eretes,Wenlock,,432.9,426.7,US,Arkansas,-91.633331,35.766666,based on political unit,minutes,St. Clair Limestone,formation,grainstone,deep subtidal ramp,macrofossils,body,USNM 438c. Searcy Spring,taxonomic,low-level epifaunal,well-developed,carnivore,Silurian,1,-0.03391346657626163,-0.3744054030904045,0,42
Phillipsia proetoides,Proetida,21062,Phillipsiidae,85866,Phillipsia,21308,proetoides,Asselian,Sakmarian,298.9,290.1,LA,,105.0,18.25,based on political unit,2,,group of beds,limestone,carbonate indet.,macrofossils,body,"Kham-keut, at Kham-mon (Schwagerina princeps horizon)",taxonomic,low-level epifaunal,well-developed,detritivore,Permian,1,-0.03391346657626163,-0.3623829276467828,1,25
Aitkenaspis keelensis,Corynexochida,19472,Zacanthoididae,95208,Aitkenaspis,506900,keelensis,Delamaran,,509.7,505.3,CA,Northwest Territory,-127.264999,64.9375,stated in text,seconds,Mount Clark,bed,siltstone,marine indet.,macrofossils,body,Dodo Canyon. 30.5 m,taxonomic,nektobenthic,well-developed,carnivore,Cambrian,1,-0.03391346657626163,-0.37663776430253115,0,9
Pilletina primitiae,Phacopida,21421,Acastidae,56892,Pilletina,21707,primitiae,Pragian,,413.02,410.62,EU,Finistere,-4.366667,48.366669,based on political unit,minutes,l'Armorique,bed,limestone,marine indet.,,,"L'Armorique Point section, bed 80b, Armorican Massif",biostratigraphic,low-level epifaunal,well-developed,carnivore,Devonian,0,-1.280512398105458,-0.3591643827666484,0,13
Dellea suada,Olenida,392207,Dokimokephalidae,133759,Dellea,20448,suada,Franconian,Dolgellian,497.0,486.85,US,Missouri,-90.532776,37.836666,,seconds,Davis,group of beds,shale,transition zone/lower shoreface,,body,"Strimple Collection, Davis Formation, Missouri - Stitt 1983",taxonomic,low-level epifaunal,well-developed,carnivore,,1,-0.03391346657626163,2.9650455947417167,0,42
Boeckops boecki,Phacopida,21421,Phacopidae,56891,Boeckops,21462,boecki,Pragian,Middle Devonian,413.02,382.31,EU,,14.0,50.0,,degrees,,,lime mudstone,shallow subtidal indet.,,body,"Reedops-Odontochile Assemblage of the Pragian(Barrandian, Cze) Assemblage 7",paleoecologic,low-level epifaunal,well-developed,carnivore,Devonian,1,-0.03391346657626163,-0.3591643827666484,0,13
Eomonorachus intermedius,Phacopida,21421,Pterygometopidae,133731,Eomonorachus,21565,intermedius,Kirkfieldian,,457.3,449.6,US,"Illinois, Iowa",-90.5,42.0,estimated from map,degrees,Ion,member,limestone,carbonate indet.,macrofossils,,"Sardeson Collection, Ion Formation, Buckhorn Member, Illinois and Iowa",biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,0,-1.280512398105458,-0.3591643827666484,0,42
Aayemenaytcheia paragranulata,Proetida,21062,Proetidae,56726,Aayemenaytcheia,259102,paragranulata,Emsian,,410.62,393.47,CA,Nunavut,-99.0,76.300003,estimated from map,1,Blue Fiord,group of beds,limestone,shallow subtidal indet.,macrofossils,body,"Great Day Creek Section, Bathurst Island, Unit 12, Blue Fiord Formation",biostratigraphic,low-level epifaunal,well-developed,detritivore,Devonian,1,-0.03391346657626163,-0.3623829276467828,1,9
Acastella latimarginata,Phacopida,21421,Acastidae,56892,Acastella,21425,latimarginata,Lochkovian,,419.62,413.02,EU,Palencia,-0.916667,43.0,estimated from map,degrees,Lebanza,formation,dolomite,marine indet.,"macrofossils,mesofossils",body,"Lebanza Formation, mainly from Rio Arauz section",biostratigraphic,low-level epifaunal,well-developed,carnivore,Devonian,1,-0.03391346657626163,-0.3591643827666484,0,13
Deacybele arenosa,Phacopida,21421,Encrinuridae,97159,Deacybele,21528,arenosa,Soudleyan,,458.2,457.2,EU,Lenister,-7.166667,53.416668,estimated from map,minutes,Campile,group of beds,siltstone,transition zone/lower shoreface,macrofossils,body,"Duncannon Group, Frankfort",general faunal/floral,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.3591643827666484,0,13
Basilicus tyrannus,Asaphida,19834,Asaphidae,82596,Basilicus,19872,tyrannus,Late Llanvirn,,461.1,458.2,EU,Wales,-4.0,52.0,,degrees,Ffairfach Flags and Grits,bed,limestone,transition zone/lower shoreface,macrofossils,body,"Sowerbyella Assem Phase 1 Samp F49, Flags and Grits, Ffairfach Group",paleoecologic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37339232350417834,0,13
Palaeadotes dissidens,Lichida,19721,Damesellidae,155009,Palaeadotes,114938,dissidens,Mindyallan,,499.0,497.0,AU,Queensland,140.300003,-19.591667,estimated from map,seconds,Mungerebar,group of beds,limestone,carbonate indet.,macrofossils,body,Locality 51. G128*.  0.8 kilometers southwest of Chummy Bore,taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,1,-0.03391346657626163,-0.3744054030904045,0,4
Uromystrum minor,Proetida,21062,Bathyuridae,124260,Uromystrum,21397,minor,Whiterockian,,471.3,457.3,US,New York,-73.423332,44.032501,based on nearby landmark,4,Crown Point,group of beds,limestone,carbonate indet.,"macrofossils,mesofossils",body,(CP) Crown Point,biostratigraphic,low-level epifaunal,well-developed,detritivore,Ordovician,1,-0.03391346657626163,-0.3623829276467828,1,42
Goniotelina brevis,Proetida,21062,Bathyuridae,124260,Acidiphorus,21064,brevis,Cassinian,,483.4,471.3,US,Utah,-111.830002,41.740002,estimated from map,2,Garden City,bed,limestone,open shallow subtidal,macrofossils,"body,replaced with silica",D 208a CO,biostratigraphic,low-level epifaunal,well-developed,detritivore,Ordovician,2,1.2126854649529348,-0.3623829276467828,1,42
Isoteloides peri,Asaphida,19834,Asaphidae,82596,Isoteloides,19999,peri,Cassinian,,483.4,471.3,US,Oklahoma,-97.143333,34.372223,estimated from map,seconds,Kindblade,bed,lime mudstone,shallow subtidal indet.,macrofossils,body,I-917,biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37339232350417834,0,42
Leptoplastides ulrichi,Olenida,392207,Olenidae,82598,Leptoplastides,20653,ulrichi,Furongian,,497.0,486.85,AR,,-65.688004,-23.615999,estimated from map,3,Lampazar,bed,shale,offshore,macrofossils,body,Quebrada Totora - TotoraB,paleoecologic,low-level epifaunal,well-developed,carnivore,,1,-0.03391346657626163,2.9650455947417167,0,3
Proasaphiscus (Honanaspis) lui,Ptychopariida,20239,Proasaphiscidae,155209,Honanaspis,224128,lui,Taijangian,,506.5,504.5,CN,Shandong,116.883331,36.416668,based on nearby landmark,minutes,Mantou,bed,limestone,marine indet.,macrofossils,mold/impression,"Mt. Mantou, Zhangxia, BW69-69a, BW68",taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,0,-1.280512398105458,-0.3697613745446953,0,10
Proceratopyge truncatus,Asaphida,19834,Ceratopygidae,82589,Proceratopyge,20136,truncata,Taoyuanian,,495.2,486.85,CN,Hunan,110.949997,29.133333,based on nearby landmark,minutes,Huaqiao,bed,limestone,slope,macrofossils,"cast,mold/impression","Shenjiawan, unit 7, 21",taxonomic,low-level epifaunal,well-developed,carnivore,,0,-1.280512398105458,-0.37339232350417834,0,10
Inouyops titiana,Ptychopariida,20239,Lorenzellidae,155544,Inouyops,20582,titiana,Taijangian,,506.5,504.5,CN,Henan,114.050003,35.416668,based on political unit,minutes,Hsuchuang,bed,limestone,carbonate indet.,macrofossils,"cast,mold/impression","Chishanhe, Jixian, bed 26",taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,0,-1.280512398105458,-0.3697613745446953,0,10
Plethopeltides magnus,Ptychopariida,20239,Plethopeltidae,155002,Plethopeltides,20850,magnus,Tremadoc,,486.4,477.1,RU,Krasnoyar,88.816666,68.0,based on nearby landmark,minutes,Uigur,group of beds,limestone,perireef or subreef,macrofossils,"cast,mold/impression","Kulyumbe River, unit 33",taxonomic,low-level epifaunal,,carnivore,Ordovician,0,-1.280512398105458,-0.3697613745446953,0,35
Leonaspis olini,Odontopleurida,19772,Odontopleuridae,56895,Leonaspis,19814,olini,Hirnantian,,445.2,443.1,KZ,,75.362503,43.75,estimated from map,minutes,Zhalair,bed,mudstone,marine indet.,macrofossils,body,Locality 287. Durben Well North Section 2,biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37394817248069184,0,24
Pliomeroides blatchfordi,Phacopida,21421,Cheiruridae,85334,Pliomeroides,21720,blatchfordi,Bendigonian,,474.9,473.1,AU,Western Australia,125.916664,-18.65,estimated from map,minutes,Emanuel,bed,limestone,,mesofossils,body,Section 705/105,biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.3591643827666484,0,4
Dindymene ornata,Phacopida,21421,Encrinuridae,97159,Dindymene,21543,ornata,Pirgu,,449.5,445.2,EU,Vastergotland,13.0,58.0,estimated from map,degrees,Ulunda Mudstone,,mudstone,marine indet.,"macrofossils,mesofossils",body,"Skultorp, Ulunda Mudstone Formation",taxonomic,low-level epifaunal,blind,carnivore,Ordovician,1,-0.03391346657626163,-0.3591643827666484,0,13
Olenellus thompsoni,Redlichiida,19346,Olenellidae,90394,Olenellus,19149,thompsoni,Dyeran,,515.3,509.7,US,Vermont,-73.15667,44.743889,stated in text,seconds,Parker Slate,group of beds,shale,marine indet.,macrofossils,mold/impression,USNM Loc. 25 Parkers Cobble,taxonomic,low-level epifaunal,well-developed,detritivore,Cambrian,0,-1.280512398105458,-0.3777673928677036,1,42
Boedaspis solis,Odontopleurida,19772,Odontopleuridae,56895,Boedaspis,308464,solis,Kunda,,469.1,464.3,EU,,16.9575,57.288334,estimated from map,seconds,Holen,group of beds,limestone,marine indet.,macrofossils,body,"Haget trilobites, above bed ""f""",biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37394817248069184,0,13
Otarozoum peri,Lichida,19721,Lichidae,123406,Otarozoum,19756,peri,Idavere,Johvi,458.0,449.9,EU,,6.083333,52.516666,,minutes,Haljala Erratics,formation,chert,carbonate indet.,macrofossils,"body,mold/impression",Zwolle,taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,2,1.2126854649529348,-0.3744054030904045,0,13
Bonnia parvula,Corynexochida,19472,Dorypygidae,95207,Bonnia,19506,parvula,Dyeran,,515.3,509.7,CA,Labrador,-56.857777,51.459999,estimated from map,seconds,Forteau,member,limestone,"reef, buildup or bioherm","macrofossils,mesofossils",body,"K07-R2, Point Amour, Middle Shale member",biostratigraphic,nektobenthic,well-developed,carnivore,Cambrian,1,-0.03391346657626163,-0.37663776430253115,0,9
Tricrepicephalus coria,Ptychopariida,20239,Tricrepicephalidae,133742,Tricrepicephalus,21016,coria,Guzhangian,,500.5,497.0,US,Texas,-98.614166,30.921667,estimated from map,seconds,Riley,bed,limestone,marine indet.,macrofossils,body,LL-468,taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,1,-0.03391346657626163,-0.3697613745446953,0,42
Aulacopleura (Paraaulacopleura) dawanensis,Proetida,21062,Aulacopleuridae,56890,Aulacopleura (Paraaulacopleura),21081,dawanensis,Dapingian,,471.3,469.4,CN,Hubei,111.374001,30.8605,estimated from map,4,Dawan,bed,shale,marine indet.,macrofossils,"body,original calcite","SHod18, Huanghuachang section",taxonomic,low-level epifaunal,well-developed,detritivore,Ordovician,2,1.2126854649529348,-0.3623829276467828,1,10
Dicranopeltis arkansana,Lichida,19721,Lichidae,123406,Dicranopeltis,19735,arkansana,Wenlock,,432.9,426.7,US,Arkansas,-91.633331,35.766666,based on political unit,minutes,St. Clair Limestone,formation,grainstone,deep subtidal ramp,macrofossils,body,USNM 438c. Searcy Spring,taxonomic,low-level epifaunal,well-developed,carnivore,Silurian,1,-0.03391346657626163,-0.3744054030904045,0,42
Pseudophillipsia acuminata,Proetida,21062,Phillipsiidae,85866,Pseudophillipsia,21337,acuminata,Capitanian,,264.28,259.51,LA,,102.07,19.879999,based on nearby landmark,2,,group of beds,sandstone,marine indet.,macrofossils,body,Between Ban Pak-Lung and Xieng-Men (graywacke),taxonomic,low-level epifaunal,well-developed,detritivore,Permian,1,-0.03391346657626163,-0.3623829276467828,1,25
Aitkenaspis keelensis,Corynexochida,19472,Zacanthoididae,95208,Aitkenaspis,506900,keelensis,Delamaran,,509.7,505.3,CA,Northwest Territory,-127.264999,64.9375,stated in text,seconds,Mount Clark,bed,siltstone,marine indet.,macrofossils,body,Dodo Canyon. 31.5 m,taxonomic,nektobenthic,well-developed,carnivore,Cambrian,1,-0.03391346657626163,-0.37663776430253115,0,9
Pseudocryphaeus praejonesi,Phacopida,21421,Acastidae,56892,Pseudocryphaeus,21738,praejonesi,Pragian,,413.02,410.62,EU,Finistere,-4.366667,48.366669,based on political unit,minutes,l'Armorique,bed,limestone,marine indet.,,,"L'Armorique Point section, bed 80b, Armorican Massif",biostratigraphic,low-level epifaunal,well-developed,carnivore,Devonian,0,-1.280512398105458,-0.3591643827666484,0,13
Drabia acroccipita,Ptychopariida,20239,Phylacteridae,133757,Drabia,20462,acroccipita,Franconian,Dolgellian,497.0,486.85,US,Missouri,-90.532776,37.836666,,seconds,Davis,group of beds,shale,transition zone/lower shoreface,,body,"Strimple Collection, Davis Formation, Missouri - Stitt 1983",taxonomic,low-level epifaunal,well-developed,carnivore,,1,-0.03391346657626163,-0.3697613745446953,0,42
Boeckops zenonis,Phacopida,21421,Phacopidae,56891,Boeckops,21462,zenonis,Pragian,Middle Devonian,413.02,382.31,EU,,14.0,50.0,,degrees,,,lime mudstone,shallow subtidal indet.,,body,"Reedops-Odontochile Assemblage of the Pragian(Barrandian, Cze) Assemblage 7",paleoecologic,low-level epifaunal,well-developed,carnivore,Devonian,1,-0.03391346657626163,-0.3591643827666484,0,13
Isotelus gigas,Asaphida,19834,Asaphidae,82596,Isotelus,20000,gigas,Kirkfieldian,,457.3,449.6,US,"Illinois, Iowa",-90.5,42.0,estimated from map,degrees,Ion,member,limestone,carbonate indet.,macrofossils,,"Sardeson Collection, Ion Formation, Buckhorn Member, Illinois and Iowa",biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,0,-1.280512398105458,-0.37339232350417834,0,42
Ormistonia tesca,Proetida,21062,Proetidae,56726,Ormistonia,431138,tesca,Emsian,,410.62,393.47,CA,Nunavut,-99.0,76.300003,estimated from map,1,Blue Fiord,group of beds,limestone,shallow subtidal indet.,macrofossils,body,"Great Day Creek Section, Bathurst Island, Unit 13, Blue Fiord Formation",biostratigraphic,low-level epifaunal,well-developed,detritivore,Devonian,1,-0.03391346657626163,-0.3623829276467828,1,9
Braunops obsoletus,Phacopida,21421,Acastidae,56892,Braunops,259040,obsoletus,Emsian,,410.62,393.47,EU,Palencia,-0.866667,42.966667,estimated from map,minutes,Arauz,member,limestone,marine indet.,,,"Arauz Formation, Requejada Member, Palencia, N Spain",biostratigraphic,low-level epifaunal,well-developed,carnivore,Devonian,0,-1.280512398105458,-0.3591643827666484,0,13
Porterfieldia caecigena,Olenida,392207,Olenidae,82598,Porterfieldia,20859,caecigenus,Longvillian,,457.2,455.0,EU,Lenister,-7.166667,53.416668,estimated from map,minutes,,group of beds,siltstone,offshore,,,"Duncannon Group, Moyne Upper, Ireland",general faunal/floral,low-level epifaunal,blind,carnivore,Ordovician,0,-1.280512398105458,2.9650455947417167,0,13
Basilicus tyrannus,Asaphida,19834,Asaphidae,82596,Basilicus,19872,tyrannus,Late Llanvirn,,461.1,458.2,EU,Wales,-4.0,52.0,,degrees,Ffairfach Flags and Grits,bed,limestone,transition zone/lower shoreface,macrofossils,body,"Sowerbyella Assem Phase 1 Samp F50, Flags and Grits, Ffairfach Group",paleoecologic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37339232350417834,0,13
Psilocephalina lubrica,Asaphida,19834,Asaphidae,82596,Psilocephalina,20158,lubrica,Warendian,,486.85,484.3,AU,Northern Territory,132.977783,-24.133333,stated in text,minutes,Pacoota,member,sandstone,marine indet.,macrofossils,body,"Locality 56. Hy 260*. James Range 'A' Anticline, east end of Merrick Gully",taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37339232350417834,0,4
Lonchodomas chaziensis,Trinucleida,198568,Raphiophoridae,124265,Lonchodomas,20035,chaziensis,Whiterockian,,471.3,457.3,US,New York,-73.416496,44.608101,based on nearby landmark,4,Day Point,,limestone,carbonate indet.,"macrofossils,mesofossils","body,replaced with silica",PB15,biostratigraphic,low-level epifaunal,blind,detritivore,Ordovician,2,1.2126854649529348,1.2290126921112443,1,42
Clelandia aspina,Ptychopariida,20239,Kingstoniidae,133733,Clelandia,20415,aspina,Gasconadian,,486.85,477.1,US,California,-116.610001,36.389999,estimated from map,2,Goodwin,bed,limestone,deep subtidal ramp,macrofossils,"body,replaced with silica","USGS loc. D1394 CO, Funeral Mountains",biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,2,1.2126854649529348,-0.3697613745446953,0,42
Isoteloides peri,Asaphida,19834,Asaphidae,82596,Isoteloides,19999,peri,Cassinian,,483.4,471.3,US,Oklahoma,-97.143333,34.372223,estimated from map,seconds,Kindblade,bed,lime mudstone,shallow subtidal indet.,macrofossils,body,I-918,biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37339232350417834,0,42
Plicatolina scalpta,Olenida,392207,Olenidae,82598,Plicatolina,20852,scalpa,Furongian,,497.0,486.85,AR,,-65.688004,-23.615999,estimated from map,3,Lampazar,bed,shale,offshore,macrofossils,body,Quebrada Totora - TotoraB,paleoecologic,low-level epifaunal,well-developed,carnivore,,1,-0.03391346657626163,2.9650455947417167,0,3
Proasaphiscina mantoushanensis,Ptychopariida,20239,Proasaphiscidae,155209,Proasaphiscina,224134,mantoushanensis,Taijangian,,506.5,504.5,CN,Shandong,116.883331,36.416668,based on nearby landmark,minutes,Mantou,bed,limestone,marine indet.,macrofossils,mold/impression,"Mt. Mantou, Zhangxia, BW69-69a, BW68",taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,0,-1.280512398105458,-0.3697613745446953,0,10
Proceratopyge truncatus,Asaphida,19834,Ceratopygidae,82589,Proceratopyge,20136,truncata,Taoyuanian,,495.2,486.85,CN,Hunan,110.949997,29.133333,based on nearby landmark,minutes,Huaqiao,bed,limestone,slope,macrofossils,"cast,mold/impression","Shenjiawan, unit 7, 22",taxonomic,low-level epifaunal,well-developed,carnivore,,0,-1.280512398105458,-0.37339232350417834,0,10
Proasaphiscus granulus,Ptychopariida,20239,Proasaphiscidae,155209,Proasaphiscus,20865,granulus,Taijangian,,506.5,504.5,CN,Henan,114.050003,35.416668,based on political unit,minutes,Hsuchuang,bed,limestone,carbonate indet.,macrofossils,"cast,mold/impression","Chishanhe, Jixian, bed 26",taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,0,-1.280512398105458,-0.3697613745446953,0,10
Apatokephalus nyaicus,Asaphida,19834,Remopleurididae,103546,Apatokephalus,19854,nyaicus,Tremadocian,,486.85,477.1,RU,Krasnoyar,88.816666,68.0,based on nearby landmark,minutes,Nya,group of beds,limestone,perireef or subreef,macrofossils,"cast,mold/impression","Kulyumbe River, unit 34",taxonomic,nektobenthic,well-developed,carnivore,Ordovician,0,-1.280512398105458,-0.37339232350417834,0,35
Mucronaspis (Songxites) mucronatus,Phacopida,21421,Dalmanitidae,85376,Mucronaspis (Songxites),21653,mucronata,Porkuni,,445.2,443.1,EU,Dalarne,15.1,60.916668,based on political unit,minutes,Tommarp,bed,mudstone,carbonate indet.,macrofossils,body,Kullsberg Quarry. 1st Bed of 4,taxonomic,low-level epifaunal,blind,carnivore,Ordovician,1,-0.03391346657626163,-0.3591643827666484,0,13
Burminresia prima,Asaphida,19834,Asaphidae,82596,Burminresia,296600,prima,Bendigonian,,474.9,473.1,AU,Western Australia,125.916664,-18.65,estimated from map,minutes,Emanuel,bed,limestone,,mesofossils,body,Section 705/117,biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37339232350417834,0,4
Sphaerocoryphe dentata,Phacopida,21421,Cheiruridae,85334,Sphaerocoryphe,21780,dentata,Pirgu,,449.5,445.2,EU,Dalarne,13.525,58.186111,based on political unit,seconds,Jonstorp,,mudstone,marine indet.,"macrofossils,mesofossils",body,"Mösseberg, upper Jonstorp Fm.",taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.3591643827666484,0,13
